index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-1.9928437598399773,-1.990361532183416,0.046342666491626515,-2.0634108735447985,-1.906716580513295,0.13630727392004816,0.1367881898923329,0.006358460134210677,0.12703703615618944,0.1485674636047109,0.5209107170478475,0.5215235329699659,0.005223962963028228,0.5138264566938362,0.5320732027019053,0.5209107170478475,0.5215235329699659,0.005223962963028228,0.5138264566938362,0.5320732027019053,SSP1-2.6 2041-2070,2041-2070,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-2.5495873988267834,-2.5633467770181855,0.049606805047863974,-2.6501380160365815,-2.4893169501580914,0.07811389092976362,0.07713787665505838,0.003810968083271006,0.07064191713833468,0.08298584981645202,0.39656845421577125,0.39733758935152497,0.004105999015108344,0.39168328221038956,0.4062892706286166,0.3965684542157713,0.39733758935152497,0.004105999015108344,0.39168328221038956,0.40628927062861664,SSP1-2.6 2041-2070,2041-2070,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.4319351984791024,-1.4354095001560327,0.051273535350711254,-1.5350424100075992,-1.346898648537092,0.23884835665030352,0.2383173534809143,0.012039722608140346,0.21555887683965402,0.26004586101526916,0.4980404349797347,0.4980971536861211,0.005270441693983813,0.48914916865885094,0.5057814610770972,0.4980404349797347,0.4980971536861211,0.005270441693983813,0.48914916865885094,0.5057814610770972,SSP1-2.6 2041-2070,2041-2070,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-1.1552736566699513,-1.1575386813194057,0.030204776215717963,-1.1987610421479733,-1.10717597197837,0.314971423173392,0.3143974430888788,0.009508712725410621,0.3015676130131352,0.33049151613187067,0.5885978660114357,0.5895257773718187,0.00510928280829615,0.5824934684609363,0.5997658834018786,0.5885978660114357,0.5895257773718187,0.00510928280829615,0.5824934684609363,0.5997658834018786,SSP1-2.6 2041-2070,2041-2070,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-2.1412059723968544,-2.1249503844347477,0.046677126965159764,-2.1903623668171255,-2.031519097939345,0.11751306931120281,0.11956572874404858,0.005647952674747316,0.11187623445971968,0.13113634298438942,0.48910680173704013,0.49003049897223083,0.005391576324049152,0.4812498909291901,0.5002362380774861,0.48910680173704013,0.49003049897223083,0.005391576324049152,0.4812498909291901,0.5002362380774861,SSP1-2.6 2041-2070,2041-2070,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3643648577254655,-1.3654606084637801,0.05719576040160021,-1.461481087954117,-1.2685383954786693,0.25554328450210917,0.25566233933896115,0.0143914226229224,0.23220281372952528,0.2812481670363727,0.5449832085021821,0.5452521692296342,0.0057792801546672976,0.5365863652528583,0.5559672041912709,0.5449832085021821,0.5452521692296342,0.0057792801546672976,0.5365863652528583,0.5559672041912709,SSP1-2.6 2041-2070,2041-2070,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.425033900384899,-2.420825082467566,0.06686708557522864,-2.5387818678108136,-2.3050879259626713,0.08847517459405163,0.08904064204037354,0.005964568854041518,0.07896598486897871,0.09976002927101396,0.44289277112759606,0.44304170876962534,0.004255201763548511,0.4359157389648847,0.4501348332367338,0.44289277112759606,0.44304170876962534,0.004255201763548511,0.4359157389648847,0.4501348332367338,SSP1-2.6 2041-2070,2041-2070,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.5483284537406368,-2.5787312144067434,0.09849877477989859,-2.7541585392714683,-2.4254021518680178,0.07821408010051778,0.07622326092605645,0.007401826225362521,0.06366298779076542,0.0884472110674493,0.3643035164034165,0.3647033708192986,0.00405285210857192,0.3572704402187339,0.3713840636793665,0.3643035164034165,0.3647033708192986,0.00405285210857192,0.3572704402187339,0.3713840636793665,SSP1-2.6 2041-2070,2041-2070,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-2.1122211963000637,-2.1166364892461402,0.06001217958721634,-2.2135066703588437,-2.0174939355284764,0.12096906240591675,0.12064590355017808,0.007245236351480684,0.10931916166735031,0.13299481361389498,0.4217963680204327,0.4225563200560174,0.004541688937423523,0.4142134678870908,0.43006007247992667,0.42179636802043263,0.42255632005601734,0.004541688937423533,0.4142134678870908,0.43006007247992667,SSP1-2.6 2041-2070,2041-2070,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3643648577254655,-1.3654606084637801,0.05719576040160021,-1.461481087954117,-1.2685383954786693,0.25554328450210917,0.25566233933896115,0.0143914226229224,0.23220281372952528,0.2812481670363727,0.5449832085021821,0.5452521692296342,0.0057792801546672976,0.5365863652528583,0.5559672041912709,0.5449832085021821,0.5452521692296342,0.0057792801546672976,0.5365863652528583,0.5559672041912709,SSP1-2.6 2041-2070,2041-2070,RS2,Balsam Fir - Black Spruce Forest
