index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label
summary,NA,NA,NA,NA,NA,-3.270685676216851,-3.2770065412347495,0.054827058270329666,-3.3948813007472025,-3.211113593005102,0.0379806563225769,0.03779506548631019,0.0020239635496981296,0.03354971280360059,0.040312434328125105,0.3662462961429448,0.3662245302464618,0.0021277886189043083,0.36165536978570545,0.3696556871049105,0.3662462961429448,0.3662245302464618,0.0021277886189043083,0.36165536978570545,0.3696556871049105,Current,Baseline,FE3,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-4.221302543187038,-4.231835373145488,0.05857196043700576,-4.3476801715758695,-4.140092198921662,0.014679512635259274,0.014549619370812969,8.425411404162149e-4,0.012939153517431454,0.01592172254666424,0.21734119193659518,0.217243886034232,0.0017165142148080795,0.2137231723986373,0.22010708251870054,0.21734119193659518,0.217243886034232,0.001716514214808079,0.21372317239863733,0.22010708251870056,Current,Baseline,FE6,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.43991995127992,-1.433623747504441,0.02101907549127998,-1.4722461933486555,-1.3940035576363656,0.2369467305329418,0.2384943405797948,0.005031348460903516,0.22940963258785804,0.24808216586656295,0.48201531309606854,0.4822656512907346,0.002390157044558211,0.4779230889911187,0.48640926533332185,0.48201531309606854,0.4822656512907346,0.002390157044558211,0.4779230889911187,0.48640926533332185,Current,Baseline,ME1,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-2.0296914503672276,-2.0274371939272675,0.027188968825188276,-2.0694302207085262,-1.9800332719560942,0.13137701346449548,0.13171967353009423,0.003590551578851119,0.12625784797764086,0.1380694199926938,0.4380138712083871,0.4382475161560301,0.0024428620570859194,0.4340200435366557,0.44234988491900223,0.4380138712083871,0.4382475161560301,0.0024428620570859194,0.4340200435366557,0.44234988491900223,Current,Baseline,MS6,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-3.4575571289845195,-3.475421461212469,0.056549175923298334,-3.5979046612458125,-3.401253441521411,0.031506634822891344,0.030996030046560992,0.001719253418903836,0.02738121703462328,0.03333876569137851,0.33071157316262645,0.3306608414522501,0.0024467975861036688,0.32642487351579924,0.33506446286546127,0.33071157316262645,0.3306608414522501,0.0024467975861036688,0.32642487351579924,0.33506446286546127,Current,Baseline,MS1,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3629926921259163,-1.3666579071445717,0.029280351371580162,-1.4170637875372691,-1.3081857467481908,0.2558939577529531,0.25506349477420537,0.007489961931209408,0.24242478409245885,0.27031183088290234,0.5247232189172095,0.5245921600797538,0.002361149198145211,0.5207322667722016,0.5282244259365009,0.5247232189172095,0.5245921600797538,0.002361149198145211,0.5207322667722016,0.5282244259365009,Current,Baseline,MS2,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-1.9825432007848351,-1.9848597059343385,0.06077811493163824,-2.1083610600054956,-1.8929224747276843,0.13771855158887988,0.13764292062511166,0.008245539123062836,0.12145674739070822,0.15065863866396118,0.46654311203200705,0.4666134693246929,0.0022904208556116623,0.4623341102283123,0.4702617847896004,0.46654311203200705,0.4666134693246929,0.0022904208556116623,0.4623341102283123,0.4702617847896004,Current,Baseline,RE2,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.789206826188517,-2.790935345459685,0.05738696722981696,-2.9010199884597982,-2.6961873502705904,0.061470204932595786,0.061461130183809824,0.00350690665890979,0.05496990429950127,0.0674704772067581,0.34737639797924874,0.3471354528095473,0.0017345642083305725,0.3442494283788914,0.3495342802555388,0.34737639797924874,0.3471354528095473,0.0017345642083305725,0.3442494283788914,0.3495342802555388,Current,Baseline,RC3,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-3.4445906097543184,-3.432994358479329,0.06262405637595607,-3.5376746754122683,-3.33158928629282,0.03191875755868463,0.03235152182448077,0.0020341620651995454,0.029083714241109844,0.03573738834604738,0.2623613107606068,0.26257885593553104,0.0023468778300486806,0.25866367051395706,0.2666968521259244,0.26236131076060676,0.26257885593553104,0.002346877830048688,0.258663670513957,0.2666968521259244,Current,Baseline,RP1,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3629926921259163,-1.3666579071445717,0.029280351371580162,-1.4170637875372691,-1.3081857467481908,0.2558939577529531,0.25506349477420537,0.007489961931209408,0.24242478409245885,0.27031183088290234,0.5247232189172095,0.5245921600797538,0.002361149198145211,0.5207322667722016,0.5282244259365009,0.5247232189172095,0.5245921600797538,0.002361149198145211,0.5207322667722016,0.5282244259365009,Current,Baseline,RS2,Balsam Fir - Black Spruce Forest
